ACE,Institution,City,State,Stratification Cell,Included in National Norms
515,Georgia Institute of Technology-Main Campus,Atlanta,GA,3,yes
2263,Gettysburg College,Gettysburg,PA,14,yes
2847,Gonzaga University,Spokane,WA,18,no
1164,Gordon College,Wenham,MA,23,no
758,Goshen College,Goshen,IN,22,yes
5199,Grace College and Theological Seminary,Winona Lake,IN,21,yes
834,Grinnell College,Grinnell,IA,14,yes
1953,Guilford College,Greensboro,NC,22,yes
1338,Gustavus Adolphus College,Saint Peter,MN,23,yes
1776,Hamilton College,Clinton,NY,14,yes
9107,Harrisburg University of Science and Technology,Harrisburg,PA,11,no
1777,Hartwick College,Oneonta,NY,13,yes
180,Harvey Mudd College,Claremont,CA,14,yes
2267,Haverford College,Haverford,PA,14,yes
2072,Hiram College,Hiram,OH,12,yes
1755,Hobart William Smith Colleges,Geneva,NY,14,yes
2794,Hollins University,Roanoke,VA,13,yes
152,Holy Names University,Oakland,CA,16,yes
1084,Hood College,Frederick,MD,13,yes
1269,Hope College,Holland,MI,23,no
424,Howard University,Washington,DC,41,no
8,Huntingdon College,Montgomery,AL,20,yes
5254,Husson University,Bangor,ME,11,no
642,Illinois College,Jacksonville,IL,22,yes
7813,Institute of American Indian and Alaska Native Culture,Santa Fe,NM,7,no
1785,Iona College,New Rochelle,NY,16,yes
2073,John Carroll University,University Heights,OH,18,yes
1956,Johnson C. Smith University,Charlotte,NC,35,yes
1272,Kalamazoo College,Kalamazoo,MI,14,no
1474,Kansas City Art Institute,Kansas City,MO,13,no
2075,Kenyon College,Gambier,OH,14,no
652,Knox College,Galesburg,IL,14,yes
5341,Kuyper College,Grand Rapids,MI,22,yes
523,LaGrange College,Lagrange,GA,21,yes
653,Lake Forest College,Lake Forest,IL,14,yes
2947,Lawrence University,Appleton,WI,14,yes
1794,Le Moyne College,Syracuse,NY,17,yes
2277,Lebanon Valley College,Annville,PA,22,yes
2194,Lewis & Clark College,Portland,OR,14,yes
655,Lewis University,Romeoville,IL,17,yes
4715,Life Pacific College,San Dimas,CA,20,no
2539,Lincoln Memorial University,Harrogate,TN,13,yes
2279,Lincoln University of Pennsylvania,Lincoln University,PA,34,yes
1959,Livingstone College,Salisbury,NC,38,yes
2796,Longwood University,Farmville,VA,8,yes
1961,Louisburg College,Louisburg,NC,no,
657,Loyola University Chicago,Chicago,IL,5,yes
2283,Lycoming College,Williamsport,PA,22,yes
1344,Macalester College,Saint Paul,MN,23,yes
1796,Manhattan College,Riverdale,NY,18,yes
