,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Highest academic degree planned at this college,,,,,,,,,,,,,
None,0.9,1.1,0.7,1.2,1.0,0.8,0.9,1.4,0.7,0.5,2.6,3.0,2.0
Vocational certificate,0.2,0.2,0.1,0.1,0.3,0.2,0.1,0.4,0.1,0.2,0.2,0.2,0.3
Associate (A.A. or equivalent),1.9,2.7,1.1,2.9,2.3,2.4,1.6,2.7,1.2,0.6,4.3,5.1,3.0
"Bachelor’s degree (B.A., B.S., etc.)",68.4,70.6,66.1,68.0,74.1,75.5,64.2,77.6,65.9,66.7,62.0,58.7,67.7
"Master’s degree (M.A., M.S., etc.)",21.6,20.8,22.5,23.4,17.3,16.3,25.3,14.2,22.4,22.7,20.2,22.6,16.1
Ph.D. or Ed.D.,3.7,2.7,4.7,2.7,2.7,2.7,4.0,2.1,4.9,4.1,7.2,7.0,7.7
"M.D., D.O., D.D.S., D.V.M.",2.0,0.7,3.4,0.7,0.8,0.5,2.1,0.4,3.5,2.6,1.0,0.9,1.1
J.D. (Law),0.5,0.3,0.7,0.2,0.4,0.4,0.6,0.3,0.5,1.1,1.0,1.2,0.7
B.D. or M.DIV. (Divinity),0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.4,0.5,0.3
Other,0.8,0.7,0.8,0.6,0.9,1.0,1.0,0.9,0.7,1.3,1.0,0.9,1.1
"For the activities below, indicate which ones you",,,,,,,,,,,,,
“Frequently” or “Occasionally” did during the,,,,,,,,,,,,,
past year:,,,,,,,,,,,,,
Attended a religious service,70.7,72.5,68.7,69.5,76.5,69.7,81.2,81.2,67.6,73.3,88.0,87.2,89.4
Was bored in class*,37.0,35.2,38.9,36.1,34.1,34.3,31.8,34.9,39.2,37.7,34.7,35.8,32.7
"Demonstrated for a cause (e.g., boycott, rally, protest)",21.4,21.2,21.6,20.3,22.5,23.3,23.6,21.2,20.8,24.8,28.3,26.6,31.3
Tutored another student,61.3,56.5,66.6,57.1,55.7,55.8,59.9,53.6,66.0,69.1,58.9,56.0,64.2
Studied with other students,89.0,87.5,90.5,87.3,87.9,88.1,89.5,86.9,90.1,92.1,88.7,87.3,91.2
Was a guest in a teacher’s home,16.9,16.9,17.0,13.9,20.9,19.9,15.1,24.7,16.2,20.0,17.9,16.8,19.9
Smoked cigarettes*,1.7,1.9,1.6,1.8,2.0,2.4,1.5,1.9,1.5,1.7,1.2,1.3,1.0
Drank beer,33.5,30.8,36.4,28.5,34.0,38.6,35.4,28.6,34.6,43.2,11.8,11.8,11.8
Drank wine or liquor,38.7,36.4,41.2,33.7,39.9,44.7,40.5,34.8,39.3,49.0,31.4,30.9,32.4
Felt overwhelmed by all I had to do*,34.6,35.3,33.9,34.7,36.1,36.3,35.9,36.1,33.6,35.3,31.4,29.3,35.3
Felt depressed*,9.5,10.2,8.7,10.1,10.4,10.9,8.9,10.4,8.7,8.5,11.4,10.8,12.5
Performed volunteer work,88.3,86.4,90.4,84.6,88.8,88.5,91.1,87.9,89.8,92.7,84.5,82.4,88.4
Asked a teacher for advice after class*,31.5,30.9,32.2,29.1,33.5,34.3,33.5,32.6,31.2,36.1,37.3,35.7,40.3
Voted in a student election*,19.1,18.7,19.6,17.9,19.9,19.7,21.1,19.5,18.8,22.6,26.5,23.7,31.7
Socialized with someone of another racial/ethnic,,,,,,,,,,,,,
group*,73.5,73.1,74.0,74.1,71.7,73.6,70.2,70.4,73.3,76.6,71.8,70.9,73.3
Came late to class,52.9,52.7,53.2,54.2,50.7,53.0,47.6,49.7,52.8,54.8,63.3,65.3,59.7
Used the Internet for research or homework*,82.0,79.8,84.4,79.3,80.5,81.5,79.1,80.1,84.0,86.0,77.8,76.6,80.2
