ACE,Institution,City,State,Stratification Cell,Included in National Norms
5053,Vanguard University of Southern California,Costa Mesa,CA,20,no
1891,Vassar College,Poughkeepsie,NY,14,yes
5517,Villa Maria College,Buffalo,NY,16,yes
2828,Virginia Union University,Richmond,VA,38,no
2459,Voorhees College,Denmark,SC,38,yes
789,Wabash College,Crawfordsville,IN,13,yes
1987,Wake Forest University,Winston Salem,NC,5,yes
5562,Walsh University,North Canton,OH,17,yes
2214,Warner Pacific College,Portland,OR,20,yes
1988,Warren Wilson College,Swannanoa,NC,23,yes
858,Wartburg College,Waverly,IA,23,yes
2829,Washington and Lee University,Lexington,VA,14,no
1588,Wayne State College,Wayne,NE,8,no
1295,Wayne State University,Detroit,MI,1,yes
2349,Waynesburg University,Waynesburg,PA,21,yes
1895,Wells College,Aurora,NY,12,yes
2696,West Texas A & M University,Canyon,TX,8,no
5035,Western New England University,Springfield,MA,12,yes
274,Westmont College,Santa Barbara,CA,14,no
2867,Whitman College,Walla Walla,WA,14,yes
2868,Whitworth University,Spokane,WA,23,no
2354,Wilkes University,Wilkes-Barre,PA,12,yes
2215,Willamette University,Salem,OR,14,yes
105,Williams Baptist College,Walnut Ridge,AR,21,yes
2355,Wilson College,Chambersburg,PA,20,yes
1992,Wingate University,Wingate,NC,12,yes
1993,Winston-Salem State University,Winston-Salem,NC,34,yes
2113,Wittenberg University,Springfield,OH,23,yes
2463,Wofford College,Spartanburg,SC,23,yes
1026,Xavier University of Louisiana,New Orleans,LA,39,yes
