,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Your intended career occupation (continued),,,,,,,,,,,,,
Veterinarian,1.0,1.1,0.8,0.9,1.5,1.8,0.8,1.6,0.9,0.5,0.6,0.5,0.7
Engineer,7.3,4.6,10.1,5.7,3.1,3.3,4.1,2.5,10.9,7.3,3.3,3.5,2.9
"Research Scientist (e.g., Biologist, Chemist, Physicist)",3.3,2.7,3.9,2.4,3.1,3.6,1.9,3.2,4.1,3.1,1.4,1.5,1.3
Urban Planner/Architect,1.2,1.1,1.4,1.3,0.7,1.1,0.3,0.5,1.5,1.0,1.4,1.7,0.8
Custodian/Janitor/Housekeeper,0.2,0.2,0.2,0.3,0.2,0.3,0.1,0.2,0.2,0.2,0.4,0.4,0.3
"Food Service (e.g., Chef/Cook Server)",0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.3
Hair Stylist/Aesthetician/Manicurist,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.4,0.4,0.4
Interior Designer,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1
"Skilled Trades (e.g., Plumber, Electrician, Construction)",0.4,0.6,0.2,0.8,0.4,0.2,0.1,0.7,0.2,0.1,0.3,0.4,0.3
Social/Non-Profit Services,2.8,3.7,1.9,3.9,3.4,2.8,4.1,3.7,2.0,1.5,6.8,8.7,3.4
Clergy,0.7,0.5,0.8,0.4,0.8,0.7,0.9,0.8,0.7,1.0,1.9,1.2,3.3
Homemaker/Stay at Home Parent,1.4,1.8,0.9,1.7,1.9,1.8,1.4,2.4,1.0,0.8,2.6,3.4,1.1
Other,4.8,5.4,4.2,5.0,5.9,5.9,4.8,6.6,4.3,4.0,5.4,5.3,5.7
Undecided,9.4,8.6,10.2,7.9,9.4,10.7,8.4,8.5,10.3,9.8,3.9,3.8,3.9
Your father’s occupation,,,,,,,,,,,,,
Actor or Entertainer,0.3,0.3,0.2,0.3,0.3,0.4,0.2,0.3,0.2,0.3,0.4,0.4,0.3
Artist,0.4,0.5,0.3,0.5,0.4,0.5,0.2,0.5,0.3,0.3,0.5,0.6,0.4
Graphic Designer,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.1,0.1,0.2
Musician,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.5,0.3,0.4,0.3
Writer/Producer/Director,0.2,0.2,0.2,0.2,0.2,0.3,0.1,0.2,0.2,0.3,0.1,0.1,0.1
Farmer or Forester,0.7,0.7,0.7,0.7,0.8,0.5,0.6,1.2,0.7,0.5,0.1,0.1,0.1
Natural Resource Specialist/Environmentalist,0.3,0.3,0.3,0.3,0.3,0.5,0.1,0.3,0.3,0.2,0.5,0.4,0.7
Accountant,1.7,1.6,1.8,1.3,1.8,1.6,2.5,1.7,1.7,2.3,0.8,0.6,1.1
Administrative Assistant,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.3,0.3,0.3,0.5,0.4,0.7
Business Manager/Executive,5.9,4.9,6.8,4.1,5.9,6.0,6.7,5.4,6.4,8.4,2.1,2.0,2.3
Business Owner/Entrepreneur,5.5,4.8,6.2,4.3,5.4,5.8,6.0,4.8,5.6,8.1,2.9,2.5,3.4
Retail Sales,0.8,0.9,0.8,0.9,0.9,0.9,1.0,0.8,0.8,0.7,0.6,0.4,0.9
Sales/Marketing,3.9,3.6,4.1,3.5,3.9,3.4,4.6,3.9,4.1,4.0,1.7,1.1,2.5
Human Resources,0.4,0.4,0.4,0.3,0.4,0.3,0.6,0.5,0.4,0.5,0.6,0.5,0.7
"Finance (e.g., Actuary, Banking, Loan Officer, Planner)",2.2,1.8,2.6,1.2,2.4,2.4,3.0,2.1,2.3,3.9,0.8,0.9,0.6
