,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Your intended major (continued):,,,,,,,,,,,,,
Health Professions,,,,,,,,,,,,,
Clinical Laboratory Science,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.2
Health Care Administration/Studies,0.3,0.4,0.2,0.4,0.3,0.2,0.5,0.3,0.2,0.4,0.3,0.3,0.3
Health Technology,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0
Kinesiology,1.7,2.3,1.1,3.2,1.1,0.5,0.5,1.8,1.2,0.5,0.5,0.4,0.8
Nursing,4.4,5.9,2.8,6.4,5.2,3.8,8.9,4.9,2.8,2.5,8.0,10.6,3.1
Pharmacy,1.1,0.6,1.7,0.4,0.9,1.1,1.4,0.4,1.5,2.4,2.0,1.0,3.9
"Therapy (occupational, physical, speech)",2.1,2.6,1.6,2.2,3.1,3.0,3.0,3.4,1.6,1.6,2.9,4.0,1.0
Other Health Profession,2.0,2.1,2.0,1.7,2.5,2.7,2.4,2.4,2.0,1.8,1.4,1.5,1.4
Math and Computer Science,,,,,,,,,,,,,
Computer Science,3.5,2.9,4.0,3.5,2.1,2.5,2.0,1.8,4.2,3.2,3.0,3.0,3.1
Mathematics/Statistics,1.1,1.0,1.3,1.0,1.0,1.1,0.7,1.0,1.3,1.2,0.6,0.5,0.9
Other Math and Computer Science,0.3,0.3,0.3,0.3,0.3,0.3,0.1,0.3,0.3,0.3,0.1,0.1,0.0
Physical Science,,,,,,,,,,,,,
Astronomy & Astrophysics,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.2,0.2,0.1,0.0,0.0,0.0
Atmospheric Science,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0
Chemistry,1.2,1.1,1.4,1.0,1.2,1.2,1.4,1.2,1.4,1.5,1.7,1.2,2.5
Earth & Planetary Sciences,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.2
Marine Sciences,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.1,0.1,0.1,0.1,0.1
Physics,0.7,0.6,0.9,0.5,0.7,0.9,0.3,0.7,0.9,0.7,0.4,0.3,0.5
Other Physical Science,0.2,0.2,0.2,0.1,0.2,0.3,0.1,0.2,0.2,0.1,0.1,0.1,0.1
Social Science,,,,,,,,,,,,,
Anthropology,0.3,0.3,0.4,0.3,0.3,0.3,0.1,0.3,0.4,0.3,0.1,0.1,0.1
Economics,1.1,0.7,1.6,0.5,1.1,1.8,0.4,0.7,1.4,2.1,0.3,0.0,0.6
Ethnic/Cultural Studies,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.0,0.1
Geography,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.1
"Political Science (gov’t., international relations)",2.3,2.1,2.5,1.7,2.7,3.5,2.0,2.2,2.3,3.4,2.5,1.5,4.1
Psychology,4.6,5.3,3.9,5.4,5.2,5.2,5.0,5.4,3.9,3.7,6.4,5.4,8.2
Public Policy,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.1,0.2,0.2,0.1,0.0,0.1
Social Work,0.6,0.8,0.4,1.0,0.6,0.4,0.8,0.8,0.4,0.3,2.5,2.8,2.0
Sociology,0.7,0.8,0.6,0.9,0.6,0.7,0.7,0.6,0.7,0.3,0.6,0.4,1.1
Women’s/Gender Studies,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.1,0.1,0.1,0.0,0.2
Other Social Science,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.4,0.3,0.3,0.1,0.2,0.0
Other Majors,,,,,,,,,,,,,
Architecture/Urban Planning,0.5,0.3,0.7,0.3,0.4,0.7,0.1,0.1,0.7,0.7,0.3,0.3,0.2
Criminal Justice,2.3,3.5,1.0,4.2,2.4,1.9,2.5,2.9,1.1,0.8,5.5,6.5,3.8
Library Science,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0
Security & Protective Services,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Military Sciences/Technology/Operations,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1
Other,1.9,2.3,1.5,1.8,2.9,2.9,1.5,3.6,1.5,1.8,1.8,1.9,1.6
Undecided,9.6,9.2,10.1,9.4,8.9,10.2,8.2,7.9,10.4,8.8,3.9,4.2,3.3
