,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Father’s current religious preference,,,,,,,,,,,,,
Baptist,8.0,10.8,5.1,9.4,12.6,9.9,5.8,18.7,5.1,5.2,45.6,46.3,44.2
Buddhist,2.2,1.8,2.7,2.4,1.0,1.3,0.8,0.7,2.8,2.3,0.5,0.2,0.9
Church of Christ,6.5,7.7,5.3,8.7,6.3,6.4,5.6,6.6,5.8,3.5,13.3,14.9,10.2
Eastern Orthodox,1.0,0.7,1.2,0.8,0.7,0.8,0.8,0.4,1.1,1.6,0.1,0.1,0.2
Episcopalian,1.2,1.1,1.4,0.8,1.5,1.9,0.9,1.5,1.1,2.3,0.4,0.3,0.5
Hindu,1.3,0.6,2.1,0.5,0.6,0.9,0.5,0.4,2.0,2.4,0.1,0.2,0.1
Jewish,3.5,2.1,4.9,1.8,2.4,3.8,0.8,1.8,4.5,6.5,0.1,0.1,0.2
LDS (Mormon),0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.4,0.1,0.0,0.0,0.1
Lutheran,3.2,2.8,3.6,1.9,4.1,3.1,3.2,5.5,3.9,2.7,0.3,0.3,0.1
Methodist,3.4,3.5,3.3,2.8,4.5,3.7,2.0,6.5,3.2,3.5,3.8,3.3,4.7
Muslim,2.2,1.6,2.8,1.8,1.3,1.6,1.6,0.8,2.7,3.3,2.9,2.5,3.6
Presbyterian,2.9,2.5,3.4,1.9,3.3,3.1,1.6,4.2,3.3,3.9,0.7,0.7,0.6
Quaker,0.2,0.2,0.1,0.2,0.2,0.3,0.1,0.2,0.1,0.2,0.1,0.1,0.0
Roman Catholic,29.1,29.3,28.9,31.1,26.9,26.4,52.1,15.1,28.3,31.3,4.6,2.6,8.1
Seventh-day Adventist,0.4,0.4,0.3,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.5
United Church of Christ/Congregational,0.7,0.7,0.6,0.5,0.8,0.9,0.5,0.8,0.7,0.6,0.6,0.7,0.5
Other Christian,12.4,13.8,11.0,13.1,14.7,12.2,9.4,19.9,11.3,9.9,14.0,14.6,12.9
Other Religion,2.4,2.7,2.2,3.0,2.3,2.4,1.8,2.4,2.3,1.7,2.2,2.1,2.3
None,19.0,17.4,20.7,18.2,16.3,20.6,11.7,14.1,21.3,18.7,10.4,10.6,10.1
Mother’s current religious preference,,,,,,,,,,,,,
Baptist,8.6,11.5,5.4,10.1,13.4,10.6,6.4,19.8,5.3,5.6,49.0,49.5,48.0
Buddhist,2.5,2.0,3.1,2.6,1.1,1.6,0.9,0.7,3.3,2.6,0.5,0.2,0.9
Church of Christ,7.3,8.6,5.8,9.9,6.9,7.0,6.2,7.0,6.3,4.0,14.9,16.6,11.8
Eastern Orthodox,1.0,0.8,1.2,0.8,0.7,0.9,0.7,0.5,1.1,1.6,0.2,0.1,0.2
Episcopalian,1.4,1.3,1.5,1.0,1.8,2.3,1.0,1.8,1.3,2.5,0.5,0.3,0.8
Hindu,1.3,0.5,2.0,0.5,0.6,0.9,0.5,0.4,2.0,2.4,0.1,0.2,0.0
