,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
What is your best estimate of your parents’ total,,,,,,,,,,,,,
income last year?,,,,,,,,,,,,,
"Less than $10,000",3.9,5.1,2.6,5.8,4.1,4.0,4.0,4.3,2.8,1.8,15.8,17.1,13.3
"$10,000 to $14,999",3.0,3.9,2.1,4.5,2.9,2.7,2.8,3.2,2.3,1.4,7.4,8.0,6.5
"$15,000 to $19,999",2.8,3.5,2.1,4.1,2.5,2.6,2.4,2.5,2.3,1.5,4.8,5.0,4.5
"$20,000 to $24,999",3.8,4.7,2.8,5.6,3.5,3.4,3.3,3.6,3.1,2.0,7.2,7.4,6.9
"$25,000 to $29,999",3.1,3.8,2.4,4.3,3.1,2.8,2.9,3.4,2.6,1.7,5.4,5.5,5.3
"$30,000 to $39,999",5.8,6.8,4.6,7.5,5.9,5.6,5.3,6.4,4.8,3.8,8.9,9.1,8.4
"$40,000 to $49,999",6.7,7.9,5.5,8.4,7.2,6.8,6.6,7.8,5.7,4.4,10.7,11.2,9.9
"$50,000 to $59,999",7.2,8.1,6.2,8.0,8.3,7.9,7.1,9.2,6.4,5.5,9.0,9.1,8.8
"$60,000 to $74,999",9.3,10.2,8.3,10.0,10.5,10.0,9.3,11.5,8.6,6.9,8.6,8.8,8.1
"$75,000 to $99,999",12.6,12.9,12.2,12.5,13.4,12.8,13.3,14.0,12.6,10.7,8.0,7.6,8.7
"$100,000 to $149,999",17.7,16.0,19.6,15.3,17.0,17.4,18.5,16.0,19.9,18.3,7.8,6.9,9.5
"$150,000 to $199,999",9.0,7.7,10.5,7.2,8.4,8.8,9.3,7.5,10.3,10.9,3.2,2.4,4.7
"$200,000 to $249,999",5.4,4.0,6.9,3.3,4.9,5.2,6.0,4.0,6.5,8.4,1.3,0.9,2.1
"$250,000 or more",9.7,5.5,14.2,3.4,8.5,10.0,9.2,6.6,12.1,22.6,1.9,1.1,3.3
Do you have any concern about your ability to,,,,,,,,,,,,,
finance your college education?,,,,,,,,,,,,,
None (I am confident that I will have sufficient funds),33.1,30.5,36.0,28.9,32.7,34.2,30.3,32.4,34.7,40.9,27.5,28.3,26.0
Some (but I probably will have enough funds),54.5,55.9,53.1,56.6,54.9,53.4,56.6,55.6,54.1,48.9,52.4,54.1,49.4
Major (not sure I will have enough funds to,,,,,,,,,,,,,
complete college),12.3,13.6,11.0,14.5,12.4,12.4,13.1,12.0,11.2,10.2,20.1,17.7,24.5
Your current religious preference,,,,,,,,,,,,,
Baptist,7.7,10.7,4.6,9.3,12.5,9.5,5.6,18.8,4.5,4.9,46.4,46.9,45.5
Buddhist,1.6,1.4,1.8,1.8,0.9,1.2,0.8,0.6,1.9,1.5,0.5,0.4,0.7
Church of Christ,6.0,7.3,4.7,8.2,6.1,5.7,5.5,6.7,5.1,3.1,14.2,15.9,11.0
Eastern Orthodox,0.8,0.6,1.0,0.7,0.6,0.7,0.6,0.4,1.0,1.4,0.1,0.1,0.2
Episcopalian,1.1,1.1,1.1,0.8,1.5,1.8,0.8,1.4,0.9,1.9,0.4,0.3,0.7
Hindu,1.0,0.4,1.5,0.4,0.5,0.7,0.4,0.3,1.5,1.8,0.1,0.1,0.1
Jewish,2.8,1.6,4.2,1.4,1.8,3.0,0.4,1.3,3.8,5.6,0.1,0.0,0.2
LDS (Mormon),0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.3,0.1,0.0,0.0,0.1
Lutheran,2.6,2.4,2.9,1.6,3.5,2.4,2.8,5.0,3.1,1.9,0.2,0.1,0.3
Methodist,3.0,3.2,2.7,2.5,4.3,3.4,1.7,6.4,2.6,3.0,4.1,3.5,5.1
Muslim,1.7,1.2,2.3,1.3,0.9,1.2,1.2,0.6,2.2,2.7,1.4,1.0,2.2
Presbyterian,2.4,2.2,2.7,1.7,2.8,2.4,1.2,3.8,2.5,3.3,0.8,0.9,0.7
Quaker,0.2,0.2,0.1,0.1,0.3,0.3,0.1,0.3,0.1,0.2,0.0,0.0,0.0
Roman Catholic,25.3,25.8,24.8,26.9,24.4,23.3,51.2,12.5,24.0,28.2,3.9,2.0,7.4
Seventh-day Adventist,0.3,0.4,0.3,0.4,0.3,0.4,0.3,0.2,0.3,0.2,0.6,0.8,0.3
United Church of Christ/Congregational,0.6,0.6,0.6,0.6,0.7,0.8,0.5,0.8,0.6,0.6,0.7,0.8,0.4
Other Christian,12.2,13.8,10.6,13.0,14.8,11.5,9.5,20.7,10.7,9.9,15.6,16.3,14.4
Other Religion,2.7,3.0,2.5,3.2,2.7,3.0,2.3,2.6,2.6,2.1,2.3,2.3,2.3
None,27.5,23.9,31.4,25.7,21.4,28.4,14.9,17.4,32.4,27.7,8.6,8.6,8.5
