ACE,Institution,City,State,Stratification Cell,Included in National Norms
1729,Adelphi University,Garden City,NY,4,yes
1243,Adrian College,Adrian,MI,21,yes
1,Alabama A & M University,Normal,AL,34,yes
354,Albertus Magnus College,New Haven,CT,16,yes
1244,Albion College,Albion,MI,23,no
1731,Alfred University,Alfred,NY,13,no
2233,Allegheny College,Meadville,PA,23,no
414,American University,Washington,DC,5,no
2432,Anderson University,Anderson,SC,22,no
2046,Antioch College,Yellow Springs,OH,11,no
497,Armstrong Atlantic State University,Savannah,GA,8,no
125,Art Center College of Design,Pasadena,CA,12,yes
944,Asbury University,Wilmore,KY,13,no
1322,Augsburg College,Minneapolis,MN,22,no
599,Aurora University,Aurora,IL,12,no
5569,Azusa Pacific University,Azusa,CA,4,no
1141,Babson College,Wellesley,MA,14,yes
454,Barry University,Miami,FL,4,no
1042,Bates College,Lewiston,ME,14,yes
5275,Bay Path College,Longmeadow,MA,11,no
2519,Belmont University,Nashville,TN,23,yes
2931,Beloit College,Beloit,WI,14,yes
7072,Benedictine College,Atchison,KS,18,no
692,Benedictine University,Lisle,IL,4,yes
1934,Bennett College for Women,Greensboro,NC,38,no
2751,Bennington College,Bennington,VT,14,yes
948,Berea College,Berea,KY,13,yes
503,Berry College,Mount Berry,GA,13,yes
5349,Bethany Lutheran College,Mankato,MN,23,yes
5194,Bethel College-Indiana,Mishawaka,IN,22,yes
5753,Biola University,La Mirada,CA,4,yes
1641,Bloomfield College,Bloomfield,NJ,20,no
2049,Bluffton University,Bluffton,OH,21,yes
605,Bradley University,Peoria,IL,13,yes
9113,Bridge Idaho,Moscow,ID,no,
1193,Bridgewater State University,Bridgewater,MA,8,yes
2231,Bryn Athyn College of the New Church,Bryn Athyn,PA,22,yes
749,Butler University,Indianapolis,IN,6,yes
131,California Baptist University,Riverside,CA,20,no
132,California College of the Arts,Oakland,CA,12,yes
5621,California Maritime Academy,Vallejo,CA,9,yes
129,California State Polytechnic University-Pomona,Pomona,CA,9,yes
5010,California State University-Long Beach,Long Beach,CA,8,yes
194,California State University-Los Angeles,Los Angeles,CA,7,yes
4823,California State University-Monterey Bay,Seaside,CA,7,no
230,California State University-Northridge,Northridge,CA,7,yes
5751,California State University-San Bernardino,San Bernardino,CA,7,yes
4851,California State University-San Marcos,San Marcos,CA,7,yes
5795,Calvin College,Grand Rapids,MI,23,yes
606,Carthage College,Kenosha,WI,23,yes
2750,Castleton State College,Castleton,VT,7,yes
1938,Catawba College,Salisbury,NC,11,yes
416,Catholic University of America,Washington,DC,4,no
1745,Cazenovia College,Cazenovia,NY,11,no
