ACE,Institution,City,State,Stratification Cell,Included in National Norms
1275,Marygrove College,Detroit,MI,16,no
7314,Marymount California University,Ranchos Palos Verde,CA,16,yes
1496,Maryville University of Saint Louis,Saint Louis,MO,4,yes
1175,Massachusetts College of Art and Design,Boston,MA,9,no
913,McPherson College,McPherson,KS,20,no
2079,Miami University-Oxford,Oxford,OH,3,yes
2633,Midwestern State University,Wichita Falls,TX,2,yes
2331,Millersville University of Pennsylvania,Millersville,PA,9,yes
199,Mills College,Oakland,CA,13,yes
1412,Millsaps College,Jackson,MS,23,yes
5373,Mississippi Valley State University,Itta Bena,MS,34,no
5475,Molloy College,Rockville Centre,NY,17,yes
667,Monmouth College,Monmouth,IL,21,yes
4660,Montserrat College of Art,Beverly,MA,12,yes
2287,Moore College of Art and Design,Philadelphia,PA,11,yes
2289,Moravian College and Moravian Theological Seminary,Bethlehem,PA,22,yes
5796,Morehouse College,Atlanta,GA,35,yes
1096,Mount St Mary’s University,Emmitsburg,MD,17,yes
204,Mt San Antonio College,Walnut,CA,no,
2293,Muhlenberg College,Allentown,PA,23,yes
1809,Nazareth College,Rochester,NY,13,no
471,New College of Florida,Sarasota,FL,9,yes
1927,North Carolina A & T State University,Greensboro,NC,40,no
1965,North Carolina Central University,Durham,NC,34,yes
674,North Central College,Naperville,IL,23,no
2454,North Greenville University,Tigerville,SC,22,no
2157,Northeastern State University,Tahlequah,OK,8,yes
1184,Northeastern University,Boston,MA,6,yes
55,Northern Arizona University,Flagstaff,AZ,1,no
2963,Northland College,Ashland,WI,23,yes
848,Northwestern College,Orange City,IA,23,yes
2083,Notre Dame College,Cleveland,OH,16,no
1078,Notre Dame of Maryland University,Baltimore,MD,17,yes
1820,Nyack College,Nyack,NY,20,no
1286,Oakland University,Rochester Hills,MI,1,yes
207,Occidental College,Los Angeles,CA,14,yes
2163,Oklahoma City University,Oklahoma City,OK,23,yes
5566,Oklahoma Wesleyan University,Bartlesville,OK,21,yes
190,Otis College of Art and Design,Los Angeles,CA,12,no
4892,Oxford College of Emory University,Oxford,GA,no,
6615,Palm Beach Atlantic University,West Palm Beach,FL,22,no
2306,Philadelphia University,Philadelphia,PA,13,yes
218,Point Loma Nazarene University,San Diego,CA,23,no
683,Principia College,Elsah,IL,13,yes
2409,Providence College,Providence,RI,18,yes
373,Quinnipiac University,Hamden,CT,13,no
2825,Radford University,Radford,VA,8,no
7241,Ramapo College of New Jersey,Mahwah,NJ,9,yes
2805,Randolph College,Lynchburg,VA,22,yes
2209,Reed College,Portland,OR,14,yes
1187,Regis College,Weston,MA,16,yes
