,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
"During your last year in high school, how much",,,,,,,,,,,,,
time did you spend during a typical week doing,,,,,,,,,,,,,
the following activities?,,,,,,,,,,,,,
Partying,,,,,,,,,,,,,
None,41.3,42.8,39.5,43.1,42.4,39.2,38.9,47.2,41.1,33.7,27.4,26.0,29.9
Less than one hour,16.1,15.4,17.0,15.5,15.3,16.0,14.1,15.1,17.2,16.2,14.8,14.6,15.1
1 to 2 hours,16.9,16.8,17.0,17.4,15.9,16.6,17.0,14.5,16.8,18.2,22.5,22.5,22.5
3 to 5 hours,15.0,14.7,15.4,14.6,14.9,16.0,16.9,12.8,14.6,18.2,21.6,22.6,19.8
6 to 10 hours,6.7,6.3,7.1,5.8,7.0,7.6,8.0,5.8,6.6,9.0,7.2,7.5,6.6
11 to 15 hours,2.2,2.2,2.3,1.9,2.5,2.5,2.8,2.3,2.1,2.9,3.0,3.1,2.8
16 to 20 hours,0.9,0.9,0.9,0.8,1.1,1.2,0.9,1.0,0.8,1.0,1.2,1.1,1.3
Over 20 hours,0.9,1.0,0.8,0.9,1.1,0.9,1.3,1.3,0.8,0.9,2.4,2.6,1.9
Working (for pay),,,,,,,,,,,,,
None,44.7,44.0,45.5,46.6,40.3,42.4,37.4,39.6,44.5,49.2,42.0,39.3,46.8
Less than one hour,3.3,3.2,3.5,2.8,3.7,3.8,3.3,3.7,3.4,3.8,3.7,4.0,3.1
1 to 2 hours,5.3,4.9,5.7,4.5,5.5,5.8,4.7,5.6,5.5,6.2,5.8,6.0,5.3
3 to 5 hours,8.4,8.1,8.7,7.1,9.4,9.1,9.9,9.6,8.5,9.6,8.2,8.0,8.6
6 to 10 hours,11.3,11.1,11.5,10.2,12.2,11.6,13.9,12.1,11.7,10.9,10.9,10.8,11.0
11 to 15 hours,9.2,9.0,9.5,8.4,9.7,9.3,11.0,9.6,9.9,8.1,6.6,6.9,6.0
16 to 20 hours,8.4,8.8,7.9,8.9,8.6,8.3,9.3,8.4,8.4,5.9,8.1,8.9,6.6
Over 20 hours,9.4,11.0,7.7,11.3,10.5,9.7,10.4,11.4,8.1,6.2,14.9,16.2,12.6
Volunteer work,,,,,,,,,,,,,
None,26.2,29.1,22.8,31.6,25.6,26.4,22.0,26.6,23.7,19.5,27.8,30.3,23.1
Less than one hour,19.0,18.0,20.1,17.4,18.9,18.7,18.2,19.4,20.6,18.4,14.3,14.5,14.0
1 to 2 hours,25.7,23.9,27.9,22.6,25.5,25.3,27.3,25.0,27.6,29.0,22.3,22.3,22.3
3 to 5 hours,16.3,15.6,17.1,15.1,16.2,16.0,17.9,15.6,16.6,19.1,16.5,15.4,18.5
6 to 10 hours,6.9,6.8,6.9,6.7,7.0,6.7,7.8,7.0,6.6,7.8,9.3,8.6,10.4
11 to 15 hours,2.5,2.7,2.3,2.6,2.8,2.8,2.7,2.8,2.2,2.8,3.9,3.6,4.3
16 to 20 hours,1.3,1.3,1.2,1.2,1.5,1.6,1.5,1.3,1.1,1.3,1.8,1.7,2.0
Over 20 hours,2.2,2.6,1.7,2.6,2.5,2.6,2.7,2.3,1.6,2.1,4.1,3.5,5.4
Student clubs/groups,,,,,,,,,,,,,
None,26.6,31.2,21.4,34.3,26.9,25.9,23.4,29.6,22.8,16.3,28.4,31.4,22.9
Less than one hour,13.6,13.4,13.7,13.7,13.1,12.9,13.0,13.2,14.2,11.8,11.9,12.6,10.5
1 to 2 hours,25.0,23.7,26.5,22.8,25.0,25.7,26.2,23.7,26.2,27.6,22.6,22.7,22.5
3 to 5 hours,18.3,16.4,20.4,15.0,18.3,18.7,19.9,17.2,19.7,23.1,18.0,16.5,20.6
6 to 10 hours,8.6,7.7,9.6,7.1,8.5,8.6,9.2,8.1,9.1,11.5,9.4,8.4,11.3
11 to 15 hours,3.7,3.4,4.1,3.1,3.8,3.8,3.9,3.8,3.9,4.7,4.0,3.4,5.1
16 to 20 hours,1.7,1.6,1.9,1.5,1.9,1.8,1.8,1.9,1.8,2.2,2.1,2.0,2.4
Over 20 hours,2.5,2.5,2.4,2.5,2.5,2.4,2.7,2.5,2.3,2.8,3.6,3.0,4.7
Watching TV,,,,,,,,,,,,,
None,11.1,10.4,11.9,10.5,10.2,11.2,8.8,10.0,12.0,11.6,9.8,8.5,12.3
Less than one hour,17.4,17.5,17.3,18.0,16.9,16.8,17.3,16.9,17.6,16.3,18.7,18.9,18.3
1 to 2 hours,25.1,25.3,24.9,25.6,24.9,25.2,25.7,24.3,25.1,24.1,23.2,22.8,23.9
3 to 5 hours,25.0,24.8,25.3,24.6,25.0,24.8,26.2,24.7,25.1,25.9,22.4,23.1,21.2
6 to 10 hours,12.9,12.9,12.9,12.5,13.5,13.4,13.6,13.6,12.7,13.7,13.1,13.6,12.1
11 to 15 hours,4.5,4.6,4.4,4.5,4.9,4.6,4.5,5.3,4.3,4.7,5.4,5.6,5.2
16 to 20 hours,1.7,1.9,1.6,1.8,1.9,1.8,1.5,2.2,1.5,1.7,2.7,2.8,2.6
Over 20 hours,2.2,2.6,1.7,2.6,2.6,2.2,2.4,3.0,1.7,2.0,4.6,4.7,4.5
