ACE,Institution,City,State,Stratification Cell,Included in National Norms
783,Taylor University,Upland,IN,23,no
2675,Texas Christian University,Fort Worth,TX,5,yes
2679,Texas Southern University,Houston,TX,40,no
1753,The College of New Rochelle,New Rochelle,NY,11,no
2063,The College of Wooster,Wooster,OH,14,yes
5742,The Master’s College and Seminary,Santa Clarita,CA,22,yes
7026,The Richard Stockton College of New Jersey,Galloway,NJ,9,yes
476,The University of Tampa,Tampa,FL,12,yes
7256,Touro College,New York,NY,12,no
1092,Towson University,Towson,MD,9,yes
981,Transylvania University,Lexington,KY,23,yes
435,Trinity Washington University,Washington,DC,16,yes
1024,Tulane University of Louisiana,New Orleans,LA,6,yes
2562,Union University,Jackson,TN,23,no
341,United States Air Force Academy,USAFA,CO,9,yes
380,United States Coast Guard Academy,New London,CT,9,yes
1100,United States Naval Academy,Annapolis,MD,9,yes
76,University of Arkansas at Pine Bluff,Pine Bluff,AR,34,no
9120,University of Baltimore,Baltimore,MD,8,no
382,University of Bridgeport,Bridgeport,CT,11,no
262,University of California-Riverside,Riverside,CA,1,yes
260,University of California-San Diego,La Jolla,CA,3,yes
1276,University of Detroit Mercy,Detroit,MI,18,no
9109,University of Hawaii-West Oahu,Kapolei,HI,1,yes
584,University of Idaho,Moscow,ID,2,yes
184,University of La Verne,La Verne,CA,4,no
1207,University of Massachusetts Amherst,Amherst,MA,2,yes
5773,University of Massachusetts-Dartmouth,North Dartmouth,MA,9,yes
475,University of Miami,Coral Gables,FL,5,no
1294,University of Michigan-Ann Arbor,Ann Arbor,MI,3,yes
1298,University of Michigan-Dearborn,Dearborn,MI,9,yes
6400,University of Michigan-Flint,Flint,MI,9,no
2,University of Montevallo,Montevallo,AL,9,yes
1584,University of Nebraska at Omaha,Omaha,NE,1,yes
1984,University of North Carolina at Chapel Hill,Chapel Hill,NC,3,no
2212,University of Oregon,Eugene,OR,2,yes
6232,University of Pittsburgh-Bradford,Bradford,PA,8,yes
2342,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,3,yes
2213,University of Portland,Portland,OR,18,yes
265,University of Redlands,Redlands,CA,13,yes
2816,University of Richmond,University of Richmond,VA,14,no
374,University of Saint Joseph,West Hartford,CT,17,no
2458,University of South Carolina-Columbia,Columbia,SC,3,no
9119,University of South Florida Sarasota-Manatee,Sarasota,FL,9,yes
268,University of Southern California,Los Angeles,CA,6,yes
1333,University of St. Thomas,Saint Paul,MN,5,no
157,University of the Pacific,Stockton,CA,4,yes
2302,University of the Sciences,Philadelphia,PA,14,yes
5735,University of the Virgin Islands,7,no,,
2731,University of Utah,Salt Lake City,UT,2,no
9121,University of Washington-Tacoma Campus,Tacoma,WA,9,no
2029,Valley City State University,Valley City,ND,7,yes
787,Valparaiso University,Valparaiso,IN,23,yes
2567,Vanderbilt University,Nashville,TN,6,yes
