,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Students estimate “Very Good Chance” that,,,,,,,,,,,,,
they will:,,,,,,,,,,,,,
Change major field,13.0,11.8,14.5,12.8,10.5,11.2,10.1,10.0,15.0,12.8,9.2,9.1,9.3
Change career choice,12.8,11.2,14.8,10.8,11.7,12.9,11.0,10.9,15.0,14.1,7.7,7.3,8.3
Participate in student government,6.9,7.1,6.7,7.1,7.0,7.2,8.1,6.4,6.3,8.0,14.5,13.6,16.1
Get a job to help pay for college expenses,48.8,51.0,46.1,52.7,48.8,48.5,50.6,48.3,47.5,41.0,46.1,47.2,44.1
Work full-time while attending college,7.6,8.8,6.3,10.6,6.4,5.9,7.2,6.4,6.7,4.6,12.3,11.9,12.8
Join a social fraternity or sorority,13.6,11.3,16.3,11.7,10.8,10.1,8.8,12.5,15.1,20.9,29.5,28.2,32.0
"Play club, intramural, or recreational sports",29.8,27.5,32.5,25.7,30.1,29.1,32.8,29.8,32.4,33.1,23.1,22.4,24.4
"Play intercollegiate athletics (e.g., NCAA or",,,,,,,,,,,,,
NAIA-sponsored),12.8,17.9,6.8,11.8,26.4,25.5,19.2,30.8,6.3,8.4,19.9,20.9,18.2
Make at least a “B” average,67.8,65.8,70.2,63.4,69.1,70.0,72.9,66.4,69.1,74.1,65.7,64.4,68.0
Need extra time to complete your degree,,,,,,,,,,,,,
requirements,6.2,7.2,5.1,7.9,6.1,5.6,6.3,6.4,5.4,4.3,12.8,13.4,11.7
Participate in student protests or demonstrations,5.6,5.9,5.2,5.4,6.7,7.5,5.9,6.4,5.0,6.0,12.9,11.6,15.4
Transfer to another college before graduating,5.5,6.8,4.0,7.7,5.7,5.1,4.8,6.7,4.2,3.5,12.8,12.9,12.6
Be satisfied with your college,57.7,55.4,60.5,52.5,59.3,60.1,61.7,57.4,59.1,65.7,47.8,44.4,54.0
Participate in volunteer or community service work,33.8,31.2,37.0,26.7,37.2,35.8,42.5,36.1,34.4,46.3,41.2,36.9,49.0
Seek personal counseling,11.9,12.1,11.7,11.9,12.3,12.8,12.4,11.7,11.8,11.5,18.0,17.2,19.6
Communicate regularly with your professors,40.8,40.9,40.7,37.1,46.2,48.5,47.5,43.3,38.8,47.6,43.1,39.6,49.5
Socialize with someone of another racial/ethnic group,66.9,65.1,68.9,64.3,66.2,68.3,68.6,62.9,67.8,73.0,55.3,53.2,59.0
Participate in student clubs/groups,50.5,46.0,55.9,43.7,49.1,52.1,54.3,43.7,53.7,63.7,43.2,39.1,50.8
Participate in a study abroad program,34.1,29.8,39.1,24.2,37.6,39.6,39.3,34.7,36.9,46.8,30.1,24.4,40.3
Have a roommate of a different race/ethnicity,31.6,30.7,32.7,29.4,32.6,36.3,30.1,30.1,31.1,38.4,24.4,25.2,22.8
Discuss course content with students outside of class,49.8,46.0,54.2,43.2,49.9,52.5,51.9,46.4,52.8,59.1,39.5,35.3,47.1
Work on a professor’s research project,32.7,33.7,31.6,33.3,34.2,35.4,36.1,32.1,31.2,33.1,44.0,43.8,44.4
Get tutoring help in specific courses,32.9,34.9,30.6,36.0,33.3,33.5,37.2,31.2,30.7,30.2,46.6,44.8,49.7
Take courses from more than one college,,,,,,,,,,,,,
simultaneously,6.3,6.1,6.5,6.0,6.3,6.4,7.0,5.7,6.5,6.6,11.5,10.0,14.2
Take a leave of absence from this college temporarily,2.5,2.9,2.0,2.8,3.0,2.6,3.3,3.3,1.8,2.4,6.8,7.0,6.5
Take a course exclusively online at this institution,6.7,7.5,5.7,8.4,6.2,5.0,7.5,6.6,6.1,4.4,12.0,13.0,10.2
Take a course exclusively online at a different,,,,,,,,,,,,,
institution,3.0,3.3,2.6,3.3,3.4,2.9,3.5,3.8,2.6,2.7,7.7,7.9,7.5
"Vote in a local, state, or national election",50.3,46.6,54.5,45.1,48.7,48.8,49.5,48.3,54.3,55.2,48.9,46.9,52.4
