,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Military Status:,,,,,,,,,,,,,
None,97.4,96.1,98.9,94.1,98.9,99.1,98.4,98.8,98.9,99.0,95.4,95.1,95.9
"ROTC, cadet, or midshipman at a service academy",2.2,3.4,0.8,5.3,0.9,0.6,1.4,0.9,0.8,0.9,4.0,4.2,3.6
"In Active Duty, Reserves, or National Guard",0.3,0.4,0.2,0.5,0.2,0.2,0.1,0.2,0.2,0.1,0.5,0.6,0.4
"A discharged veteran NOT serving in Active Duty,",,,,,,,,,,,,,
"Reserves, or National Guard",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.2,0.2
How would you describe the racial composition of,,,,,,,,,,,,,
the high school you last attended?,,,,,,,,,,,,,
Completely White,6.6,5.4,7.9,3.9,7.5,6.9,7.6,8.0,7.9,7.6,2.4,2.0,3.0
Mostly White,45.5,41.7,49.8,34.9,51.1,51.1,53.2,50.0,49.2,52.0,21.7,20.5,23.9
Roughly half non-White,24.6,25.9,23.2,27.4,24.0,23.9,19.8,26.2,23.3,22.7,28.1,29.8,25.2
Mostly non-White,18.5,21.2,15.4,26.9,13.5,13.9,14.7,12.5,15.8,13.6,33.5,34.6,31.6
Completely non-White,4.8,5.7,3.8,7.0,3.9,4.3,4.6,3.2,3.8,4.2,14.2,13.0,16.4
How would you describe the racial composition of,,,,,,,,,,,,,
the neighborhood where you grew up?,,,,,,,,,,,,,
Completely White,15.6,13.9,17.6,10.7,18.3,17.6,19.5,18.4,17.6,17.5,3.8,3.5,4.2
Mostly White,46.0,42.6,49.8,37.8,49.3,49.1,48.0,50.1,49.6,50.7,18.5,18.1,19.2
Roughly half non-White,15.2,16.2,14.0,18.2,13.6,14.0,12.8,13.6,14.1,13.8,20.2,20.4,19.9
Mostly non-White,15.7,18.1,12.9,22.4,12.3,12.7,12.5,11.8,13.3,11.7,33.1,34.1,31.5
Completely non-White,7.5,9.1,5.7,11.0,6.5,6.6,7.1,6.1,5.5,6.3,24.4,23.9,25.3
How many years do you expect it will take you to,,,,,,,,,,,,,
graduate from this college?,,,,,,,,,,,,,
1,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.1,0.0
2,0.4,0.6,0.2,0.5,0.7,1.2,0.4,0.4,0.2,0.1,0.5,0.6,0.5
3,2.1,2.1,2.1,1.6,2.7,2.3,1.8,3.5,2.2,1.7,3.2,2.6,4.4
4,84.7,84.4,85.0,80.7,89.2,88.5,88.6,90.2,85.8,82.1,85.3,86.0,84.0
5,9.4,9.5,9.3,13.4,4.2,4.5,5.4,3.2,8.5,12.3,6.4,7.6,4.3
6 or more,2.2,1.9,2.5,1.9,2.0,2.5,2.9,0.9,2.3,3.3,2.9,1.7,5.1
Do not plan to graduate from this college,1.1,1.5,0.7,1.8,1.1,0.8,0.9,1.6,0.8,0.4,1.5,1.5,1.7
Do you have any of the following disabilities or,,,,,,,,,,,,,
medical conditions?,,,,,,,,,,,,,
"Learning disability (dyslexia, etc.)",3.3,4.2,2.3,3.4,5.2,5.5,4.3,5.4,2.0,3.1,3.1,2.8,3.7
Attention deficit hyperactivity disorder (ADHD),5.9,6.7,5.1,5.6,8.1,8.1,6.3,9.1,4.9,5.8,5.5,5.2,6.1
Autism spectrum/Asperger’s syndrome,0.7,0.8,0.6,0.8,0.9,0.9,0.8,1.0,0.6,0.5,0.8,0.8,0.8
"Physical disability (speech, sight, mobility, hearing,",,,,,,,,,,,,,
etc.),3.7,4.2,3.1,4.3,4.1,4.1,3.7,4.2,3.1,3.0,4.1,3.9,4.7
"Chronic illness (cancer, diabetes, autoimmune",,,,,,,,,,,,,
"disorders, etc.)",2.2,2.2,2.2,1.9,2.7,2.8,2.5,2.7,2.2,2.3,2.1,1.9,2.6
"Psychological disorder (depression, etc.)",7.4,7.7,7.0,6.7,9.0,9.8,7.6,8.9,7.0,7.1,3.5,3.2,4.3
Other,4.7,5.2,4.1,4.9,5.7,5.9,5.3,5.7,4.1,4.1,5.9,5.5,6.7
