,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
During high school (grades 9-12) how many years,,,,,,,,,,,,,
did you study each of the following subjects?,,,,,,,,,,,,,
English (4 years),97.8,97.5,98.0,98.1,96.8,96.8,98.0,96.3,98.0,97.8,94.7,94.3,95.4
Mathematics (3 years),98.9,98.5,99.4,98.5,98.5,98.6,99.0,98.3,99.3,99.4,96.8,96.2,97.8
Foreign Language (2 years),93.5,92.5,94.7,92.8,92.1,93.0,94.6,90.0,94.2,96.7,85.2,83.4,88.4
Physical Science (2 years),62.3,57.7,67.1,57.6,57.9,60.7,59.4,54.4,66.5,69.6,40.3,39.4,42.1
Biological Science (2 years),50.9,48.6,53.3,47.8,49.8,50.1,50.1,49.2,53.1,54.3,37.9,36.0,41.5
History/Am. Gov’t (1 year),98.6,98.5,98.7,98.5,98.3,98.5,98.8,97.9,98.8,98.4,96.2,96.2,96.2
Computer Science (1/2 year),44.2,46.0,42.3,45.8,46.2,42.7,45.4,50.2,43.1,39.0,45.7,45.5,46.1
Arts and/or Music (1 year),81.9,82.3,81.3,83.5,80.8,81.7,81.9,79.3,80.7,83.7,73.8,72.3,76.4
Have you had any remedial work in any of the,,,,,,,,,,,,,
following subjects?,,,,,,,,,,,,,
English,20.7,22.1,19.3,21.9,22.3,20.5,24.5,23.2,19.2,19.5,23.3,23.5,23.0
Reading,19.2,20.2,18.1,19.5,21.2,19.3,23.7,21.9,18.1,18.0,22.8,23.2,22.0
Mathematics,20.2,22.2,18.1,22.4,22.1,20.9,24.0,22.3,17.9,18.9,22.6,23.1,21.8
Writing,17.3,18.2,16.4,17.7,18.8,17.1,21.1,19.3,16.3,16.5,18.5,18.8,18.0
Do you feel you will need any remedial work in,,,,,,,,,,,,,
any of the following subjects?,,,,,,,,,,,,,
English,8.8,9.9,7.6,10.4,9.3,9.2,8.5,9.9,7.7,6.9,10.0,10.1,9.7
Reading,6.9,7.7,6.0,7.7,7.6,7.7,7.3,7.7,6.1,5.6,8.0,8.4,7.3
Mathematics,18.3,22.1,14.2,23.3,20.5,19.3,20.6,21.7,14.8,12.1,27.6,28.3,26.4
Writing,12.3,13.9,10.6,13.9,13.9,14.0,13.4,14.1,10.8,9.9,16.0,16.8,14.6
"At this institution, which course placement tests",,,,,,,,,,,,,
have you taken in the following subject areas:,,,,,,,,,,,,,
English,23.8,30.7,15.9,40.3,17.0,16.3,20.1,16.1,17.0,11.7,60.5,72.8,33.3
Reading,14.7,21.6,7.0,29.6,10.5,7.9,14.3,11.1,7.5,5.3,53.9,65.6,28.9
Mathematics,54.1,51.9,56.4,56.0,46.1,52.5,47.0,38.9,60.4,39.0,65.8,69.5,58.5
Writing,25.6,25.8,25.4,33.0,15.8,16.4,23.6,11.0,28.3,14.1,42.0,51.5,23.3
Do you consider yourself:,,,,,,,,,,,,,
Pre-Med,20.4,19.1,21.7,19.4,18.8,17.2,22.4,18.7,22.0,20.1,30.8,28.5,35.2
Pre-Law,6.4,6.7,6.1,6.5,6.9,7.0,7.1,6.8,5.7,7.7,12.7,11.5,14.9
Your intended major:,,,,,,,,,,,,,
Arts and Humanities,,,,,,,,,,,,,
"Art, fine and applied",1.3,1.7,0.9,1.5,1.9,3.3,0.8,1.1,0.9,1.0,1.0,1.1,0.7
English (language and literature),1.4,1.6,1.2,1.4,1.8,2.2,1.3,1.7,1.2,1.4,0.8,0.6,1.3
History,1.0,1.2,0.8,1.2,1.2,1.3,0.9,1.3,0.8,0.9,0.5,0.4,0.7
Journalism/Communication,2.2,2.2,2.2,2.2,2.3,2.2,2.9,2.2,1.9,3.5,3.4,3.7,2.9
Classical and Modern Languages and Literature,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.5,0.4,0.3,0.1,0.1,0.1
Media/Film Studies,0.9,1.1,0.8,1.2,0.9,0.9,0.5,1.1,0.5,1.6,1.2,0.4,2.7
Music,1.2,1.5,1.0,1.2,1.8,1.5,0.6,2.8,0.9,1.5,1.2,1.4,1.0
Philosophy,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.3,0.2,0.3
Theatre/Drama,0.8,0.8,0.7,0.7,1.0,1.0,0.3,1.3,0.6,1.3,0.8,0.6,1.2
Theology/Religion,0.2,0.3,0.1,0.1,0.5,0.2,0.2,1.0,0.1,0.2,0.2,0.2,0.1
Other Arts and Humanities,0.7,0.7,0.8,0.6,0.8,0.8,0.6,0.9,0.8,0.7,0.6,0.5,0.8
