,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Students rated as “A Major Strength” or,,,,,,,,,,,,,
“Somewhat Strong” in the following areas:,,,,,,,,,,,,,
Ability to see the world from someone else’s,,,,,,,,,,,,,
perspective,76.1,73.8,78.7,73.2,74.5,76.2,75.6,72.2,78.2,80.6,70.9,68.3,75.5
Tolerance of others with different beliefs,80.7,78.0,83.7,77.8,78.3,81.1,79.3,75.0,83.4,85.1,71.8,70.0,75.0
Openness to having my own views challenged,63.2,62.1,64.5,62.4,61.6,63.0,62.7,59.7,64.1,65.8,68.9,68.2,70.2
Ability to discuss and negotiate controversial issues,70.1,67.6,72.7,67.2,68.2,69.9,68.5,66.2,72.4,74.1,71.8,70.4,74.3
Ability to work cooperatively with diverse people,85.5,84.3,86.9,84.3,84.3,85.5,85.6,82.5,86.8,87.3,84.3,83.6,85.7
What is the highest level of formal education,,,,,,,,,,,,,
obtained by your father?,,,,,,,,,,,,,
Junior high/Middle school or less,5.9,7.5,4.0,10.3,3.8,3.8,4.7,3.4,4.4,2.6,6.0,6.2,5.5
Some high school,5.5,7.0,3.8,8.6,4.7,4.5,5.0,4.8,4.1,2.9,10.6,10.9,9.9
High school graduate,17.1,20.7,13.2,22.1,18.9,17.2,18.8,20.7,14.0,9.9,30.9,32.1,28.7
Postsecondary school other than college,3.1,3.6,2.6,3.5,3.7,3.8,3.6,3.7,2.8,2.2,3.3,3.2,3.6
Some college,13.7,15.5,11.7,16.3,14.4,14.2,13.8,15.0,12.2,9.6,19.6,20.4,18.1
College degree,28.5,26.1,31.1,23.5,29.6,29.2,30.3,29.7,30.8,32.3,18.5,18.6,18.3
Some graduate school,1.9,1.6,2.1,1.3,2.0,2.2,1.9,1.9,2.1,2.5,1.2,0.9,1.7
Graduate degree,24.4,18.0,31.4,14.5,22.8,25.3,21.9,20.8,29.7,38.1,9.9,7.6,14.2
What is the highest level of formal education,,,,,,,,,,,,,
obtained by your mother?,,,,,,,,,,,,,
Junior high/Middle school or less,5.2,6.6,3.7,9.2,3.1,3.1,3.9,2.7,4.1,2.2,4.3,4.6,3.8
Some high school,3.9,4.9,2.8,6.3,3.0,3.1,3.4,2.8,3.1,2.0,6.0,6.2,5.6
High school graduate,14.9,17.3,12.3,18.9,15.1,14.1,15.4,16.0,13.1,8.9,18.4,19.7,16.1
Postsecondary school other than college,3.0,3.4,2.7,3.3,3.5,3.4,3.6,3.4,2.8,2.1,3.0,2.7,3.6
Some college,14.8,16.6,12.8,17.6,15.3,14.3,14.5,16.6,13.3,10.6,22.9,23.5,21.9
College degree,34.5,31.7,37.7,28.6,35.8,35.4,35.9,36.2,36.9,40.6,26.8,27.6,25.2
Some graduate school,2.5,2.1,2.8,1.8,2.6,2.7,2.7,2.6,2.7,3.2,2.0,1.7,2.6
Graduate degree,21.1,17.4,25.2,14.3,21.6,23.8,20.6,19.7,23.9,30.3,16.6,14.0,21.4
"During the past year, did you “Frequently”:",,,,,,,,,,,,,
Ask questions in class,55.4,53.8,57.2,51.2,57.4,59.3,58.1,55.1,55.6,63.2,62.7,61.6,64.7
Support your opinions with a logical argument,60.8,56.0,66.1,54.2,58.5,61.8,58.5,55.1,64.8,70.8,57.8,56.1,60.9
Seek solutions to problems and explain them to,,,,,,,,,,,,,
others,56.4,52.4,60.9,51.2,54.1,56.6,54.6,51.3,59.7,65.4,55.3,54.1,57.4
Revise your papers to improve your writing,50.8,49.0,52.8,46.1,53.0,52.7,55.6,52.0,51.5,57.8,51.8,49.2,56.6
Evaluate the quality or reliability of information you,,,,,,,,,,,,,
received,44.1,41.5,47.0,40.3,43.1,44.1,43.8,41.9,45.8,51.5,46.1,44.0,49.9
Take a risk because you feel you have more to gain,39.6,38.9,40.3,38.3,39.7,40.1,39.7,39.3,39.6,43.1,43.1,41.6,46.0
Seek alternative solutions to a problem,48.3,47.4,49.2,47.1,47.8,48.8,49.1,46.3,48.3,53.0,50.7,48.9,54.1
Look up scientific research articles and resources,29.9,28.1,32.0,27.3,29.1,29.8,30.3,27.7,31.5,33.9,28.3,26.6,31.6
"Explore topics on your own, even though it is not",,,,,,,,,,,,,
required for a class,37.5,35.3,39.9,34.7,36.1,38.2,34.4,34.8,39.1,43.3,37.2,34.9,41.2
Accept mistakes as part of the learning process,57.6,57.8,57.5,59.0,56.2,57.0,56.9,55.1,57.1,58.7,64.1,63.4,65.5
Seek feedback on your academic work,49.6,48.8,50.6,46.5,51.9,52.6,53.8,50.2,49.4,55.3,58.1,55.7,62.5
Work with other students on group projects,52.3,50.9,53.8,51.0,50.8,50.6,54.8,49.2,53.2,55.9,53.7,52.5,55.9
Integrate skills and knowledge from different sources,,,,,,,,,,,,,
and experiences,57.5,53.9,61.6,52.6,55.6,57.3,58.0,52.8,60.3,66.7,51.9,48.1,58.9
