,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Your intended career occupation,,,,,,,,,,,,,
Actor or Entertainer,1.1,1.3,1.0,1.1,1.6,1.8,0.7,1.7,0.8,1.5,1.1,0.7,1.8
Artist,0.9,1.2,0.6,1.1,1.4,2.5,0.6,0.7,0.6,0.6,0.6,0.5,0.7
Graphic Designer,0.9,1.1,0.6,1.2,1.1,1.3,0.6,1.1,0.7,0.6,0.8,0.9,0.6
Musician,1.5,1.7,1.3,1.6,1.9,1.7,0.8,2.7,1.2,1.8,2.5,2.8,1.8
Writer/Producer/Director,1.6,1.9,1.4,1.7,2.1,2.3,1.1,2.5,1.1,2.4,1.0,0.9,1.3
Farmer or Forester,0.4,0.5,0.3,0.5,0.4,0.5,0.1,0.5,0.3,0.3,0.9,0.6,1.4
Natural Resource Specialist/Environmentalist,0.7,0.8,0.5,0.6,1.1,1.1,0.3,1.4,0.6,0.3,0.5,0.4,0.8
Accountant,1.6,1.7,1.5,1.5,1.9,1.5,3.2,1.7,1.5,1.5,1.4,1.6,1.1
Administrative Assistant,0.4,0.5,0.3,0.5,0.5,0.5,0.2,0.6,0.3,0.2,0.4,0.3,0.6
Business Manager/Executive,2.7,2.4,3.0,2.1,2.7,2.3,3.5,2.6,2.8,3.9,1.7,1.8,1.7
Business Owner/Entrepreneur,2.3,2.1,2.4,2.0,2.4,2.3,2.7,2.2,2.1,3.5,2.8,2.8,2.8
Retail Sales,0.8,0.9,0.6,1.0,0.8,0.7,0.8,0.8,0.6,0.6,2.4,2.4,2.4
Sales/Marketing,1.8,1.6,1.9,1.4,2.0,1.8,3.4,1.4,1.9,1.9,1.0,1.0,0.9
Human Resources,0.3,0.3,0.3,0.3,0.3,0.2,0.4,0.3,0.3,0.3,0.3,0.2,0.6
"Finance (e.g., Actuary, Banking, Loan Officer, Planner)",2.1,1.5,2.7,1.2,2.0,2.0,3.1,1.3,2.4,3.7,1.1,0.9,1.3
Management Consultant,0.4,0.3,0.4,0.3,0.3,0.3,0.5,0.2,0.4,0.6,0.4,0.3,0.5
Real Estate Agent/Realtor/Appraiser/Developer,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.4,0.5,0.2
Sports Management,1.2,1.2,1.2,0.7,1.8,2.1,1.4,1.8,1.2,1.4,1.9,1.9,1.8
Journalist,0.8,0.7,0.9,0.6,0.9,1.0,1.0,0.8,0.8,1.4,1.0,0.8,1.3
Public/Media Relations,1.2,1.3,1.1,1.3,1.3,1.2,1.7,1.3,1.0,1.7,2.1,2.3,1.7
Advertising,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.2,0.3,0.6,0.4,0.3,0.5
College Administrator/Staff,0.3,0.3,0.2,0.3,0.4,0.4,0.1,0.5,0.2,0.2,0.3,0.4,0.2
College Faculty,0.4,0.4,0.5,0.3,0.6,0.7,0.2,0.7,0.5,0.5,0.3,0.2,0.4
Early Childcare Provider,1.1,1.4,0.8,1.5,1.2,1.0,1.3,1.3,0.8,0.9,1.8,2.0,1.3
Elementary School Teacher,2.7,3.6,1.8,3.7,3.4,3.0,3.0,4.0,1.9,1.7,2.5,2.8,1.9
Secondary School Teacher,2.2,2.8,1.7,2.9,2.6,2.4,2.1,3.1,1.7,1.6,1.8,1.8,1.8
Librarian,0.7,0.5,1.0,0.5,0.5,0.6,0.7,0.4,0.9,1.3,0.2,0.2,0.3
Teacher’s Assistant/Paraprofessional,0.2,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.1,0.0,0.2,0.3,0.1
K-12 Administrator,0.2,0.3,0.2,0.3,0.2,0.1,0.3,0.3,0.2,0.2,0.3,0.3,0.4
Other K-12 Professional,0.6,0.7,0.4,0.7,0.8,0.8,0.6,0.8,0.4,0.5,0.5,0.5,0.5
Military,2.1,2.8,1.3,4.1,1.1,1.2,1.4,0.9,1.3,1.3,1.3,1.2,1.4
Federal/State/Local Government Official,1.9,2.1,1.6,2.0,2.3,2.5,1.6,2.4,1.6,1.7,2.8,3.1,2.3
"Protective Services (e.g., Homeland Security,",,,,,,,,,,,,,
"Law Enforcement, Firefighter)",1.6,2.3,1.0,2.7,1.7,1.5,1.8,1.9,1.0,0.7,1.9,2.1,1.4
Postal Worker,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.2,0.1,0.2,0.2,0.4,0.0
Dietician/Nutritionist,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.3
Home Health Worker,0.9,1.3,0.5,1.4,1.1,0.7,0.9,1.7,0.5,0.4,1.1,1.2,0.9
"Medical/Dental Assistant (e.g., Hygienist, Lab Tech,",,,,,,,,,,,,,
Nursing Asst.),0.8,0.9,0.7,0.9,0.8,0.7,1.1,0.8,0.7,0.7,1.1,1.2,0.9
Registered Nurse,2.7,3.7,1.6,4.2,3.1,1.9,5.7,3.1,1.6,1.6,3.5,4.8,1.1
"Therapist (e.g., Physical, Occupational, Speech)",3.8,4.8,2.7,5.0,4.5,4.1,4.3,5.0,2.8,2.6,3.6,4.3,2.4
Computer Programmer/Developer,2.6,2.1,3.0,2.6,1.5,1.6,1.6,1.4,3.2,2.2,1.4,1.4,1.3
Computer/Systems Analyst,0.6,0.7,0.5,1.0,0.5,0.4,0.4,0.5,0.5,0.4,0.9,0.9,0.8
Web Designer,0.4,0.4,0.4,0.5,0.2,0.2,0.2,0.2,0.4,0.2,0.4,0.4,0.5
Lawyer/Judge,2.7,2.3,3.1,1.8,3.0,3.4,2.9,2.6,2.9,4.1,4.2,3.3,5.9
Paralegal,0.4,0.3,0.5,0.3,0.2,0.2,0.2,0.3,0.6,0.3,0.4,0.2,0.8
Clinical Psychologist,1.9,2.0,1.9,2.1,1.9,2.0,1.9,1.8,1.9,1.7,2.3,1.9,3.1
Dentist/Orthodontist,1.3,1.2,1.4,1.4,1.0,0.9,1.2,1.0,1.5,1.3,1.6,1.6,1.7
Medical Doctor/Surgeon,9.0,5.9,12.2,5.0,7.1,6.8,9.5,6.3,12.2,12.1,9.1,6.1,14.4
Optometrist,0.6,0.6,0.6,0.8,0.3,0.4,0.4,0.3,0.7,0.4,1.0,1.2,0.7
Pharmacist,1.3,0.9,1.8,0.8,1.0,1.1,1.5,0.6,1.7,2.0,1.5,0.6,3.0
