,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
"During your last year in high school, how much",,,,,,,,,,,,,
time did you spend during a typical week doing,,,,,,,,,,,,,
the following activities?,,,,,,,,,,,,,
Household/childcare duties,,,,,,,,,,,,,
None,21.4,20.7,22.3,19.6,22.1,24.1,17.8,22.2,21.7,24.5,20.0,18.9,21.9
Less than one hour,20.3,18.9,21.9,18.7,19.3,19.8,18.4,19.3,21.8,22.5,16.2,16.0,16.5
1 to 2 hours,29.8,29.4,30.3,29.2,29.7,29.5,31.1,29.2,30.4,29.6,26.9,27.4,25.8
3 to 5 hours,17.8,18.7,16.6,19.6,17.6,16.4,20.0,17.7,17.0,15.1,18.3,18.7,17.4
6 to 10 hours,6.3,7.0,5.5,7.4,6.5,5.7,7.1,7.0,5.5,5.2,8.7,8.5,9.1
11 to 15 hours,2.2,2.5,1.8,2.6,2.3,2.3,2.7,2.2,1.9,1.5,3.9,4.1,3.6
16 to 20 hours,0.8,1.0,0.7,1.0,0.9,0.9,1.1,0.8,0.7,0.7,1.9,1.9,1.8
Over 20 hours,1.4,1.8,0.9,1.9,1.5,1.3,1.8,1.6,0.9,0.9,4.2,4.4,3.9
Reading for pleasure,,,,,,,,,,,,,
None,31.4,33.5,28.9,34.7,31.9,30.6,31.1,33.6,29.5,26.5,33.7,36.0,29.7
Less than one hour,24.3,23.2,25.5,23.1,23.3,23.9,24.1,22.5,25.5,25.7,23.7,23.3,24.3
1 to 2 hours,21.8,20.7,23.0,20.7,20.7,21.2,22.1,19.7,22.7,24.3,21.0,20.5,22.0
3 to 5 hours,13.0,12.6,13.5,12.2,13.2,13.6,12.6,13.1,13.3,13.9,10.9,10.6,11.5
6 to 10 hours,5.5,5.5,5.5,5.1,6.0,6.2,5.6,6.1,5.4,5.9,5.7,5.3,6.3
11 to 15 hours,2.1,2.3,1.9,2.2,2.4,2.4,2.3,2.6,1.8,2.0,2.4,2.2,2.7
16 to 20 hours,0.9,0.9,0.9,0.8,1.0,1.0,0.8,1.2,0.9,0.8,1.0,0.9,1.3
Over 20 hours,1.0,1.2,0.9,1.1,1.3,1.2,1.4,1.4,0.9,0.9,1.6,1.2,2.3
Playing video/computer games,,,,,,,,,,,,,
None,44.4,44.0,44.9,43.8,44.3,44.1,47.6,43.0,44.2,47.4,43.2,40.5,48.2
Less than one hour,15.9,16.0,15.8,15.8,16.4,16.3,16.8,16.2,15.9,15.5,16.5,16.9,15.9
1 to 2 hours,14.3,14.6,14.0,14.6,14.6,14.7,13.9,15.0,14.0,14.0,15.8,17.2,13.3
3 to 5 hours,11.9,11.8,11.9,11.9,11.8,11.9,10.9,12.0,12.0,11.4,11.4,11.9,10.5
6 to 10 hours,6.8,6.6,7.0,6.7,6.6,6.8,5.4,6.9,7.1,6.3,6.1,6.2,6.0
11 to 15 hours,3.0,3.1,3.0,3.1,3.0,3.0,2.5,3.2,3.0,2.7,3.4,3.6,2.9
16 to 20 hours,1.4,1.5,1.4,1.6,1.4,1.3,1.1,1.5,1.5,1.0,1.3,1.4,1.1
Over 20 hours,2.2,2.3,2.2,2.5,2.0,1.9,1.9,2.2,2.3,1.6,2.2,2.2,2.1
"Online social networks (Facebook, Twitter, etc.)",,,,,,,,,,,,,
None,6.0,6.1,5.9,6.5,5.5,5.4,5.8,5.6,6.2,4.5,5.0,4.4,5.9
Less than one hour,15.7,15.7,15.7,16.1,15.3,15.8,14.3,15.2,16.3,13.8,15.0,15.4,14.4
1 to 2 hours,25.9,24.8,27.1,24.2,25.5,25.1,26.1,25.5,27.2,26.8,20.7,20.2,21.7
3 to 5 hours,25.2,24.2,26.4,23.8,24.8,25.0,25.6,24.2,25.9,28.0,20.2,20.0,20.5
6 to 10 hours,13.3,13.6,12.9,13.4,13.8,14.2,13.5,13.7,12.5,14.4,14.2,13.9,14.5
11 to 15 hours,5.8,6.3,5.3,6.2,6.3,6.2,6.4,6.3,5.3,5.5,7.3,7.4,7.1
16 to 20 hours,3.1,3.4,2.7,3.5,3.4,3.2,3.1,3.7,2.7,2.9,5.2,5.5,4.7
Over 20 hours,5.0,5.9,3.9,6.3,5.4,5.1,5.2,5.8,3.9,4.1,12.4,13.1,11.1
