,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
Your father’s occupation (continued),,,,,,,,,,,,,
Home Health Worker,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.5,0.6,0.3
"Medical/Dental Assistant (e.g., Hygienist, Lab Tech,",,,,,,,,,,,,,
Nursing Asst.),0.4,0.4,0.4,0.5,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.6
Registered Nurse,0.5,0.5,0.5,0.6,0.4,0.5,0.5,0.3,0.5,0.3,0.7,0.8,0.6
"Therapist (e.g., Physical, Occupational, Speech)",0.7,0.7,0.6,0.6,0.8,0.8,0.7,0.9,0.6,0.5,0.7,0.6,1.0
Computer Programmer/Developer,2.0,1.7,2.3,1.6,1.7,1.8,1.4,1.7,2.3,2.2,1.1,1.0,1.2
Computer/Systems Analyst,2.1,2.0,2.2,2.1,1.9,1.9,2.3,1.8,2.2,2.0,2.0,2.1,1.8
Web Designer,0.3,0.4,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Lawyer/Judge,2.5,1.6,3.3,1.0,2.4,2.7,2.5,2.0,3.0,4.6,0.8,0.5,1.2
Paralegal,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.5,0.0
Clinical Psychologist,0.4,0.3,0.4,0.2,0.3,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.4
Dentist/Orthodontist,0.9,0.8,1.0,0.8,0.8,0.9,0.8,0.7,0.9,1.0,0.6,0.6,0.6
Medical Doctor/Surgeon,3.0,1.9,4.1,1.5,2.6,2.6,2.7,2.4,3.8,5.1,1.1,0.6,1.9
Optometrist,0.9,0.8,0.9,0.9,0.7,0.7,0.7,0.7,1.0,0.7,1.1,0.9,1.4
Pharmacist,0.4,0.3,0.5,0.3,0.4,0.4,0.4,0.3,0.5,0.5,0.5,0.4,0.6
Veterinarian,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3
Engineer,6.8,5.3,8.1,5.5,5.1,4.9,5.8,5.0,8.6,6.5,4.1,4.5,3.6
"Research Scientist (e.g., Biologist, Chemist, Physicist)",1.0,0.8,1.2,0.7,0.9,1.1,0.5,0.9,1.2,1.2,0.6,0.8,0.4
Urban Planner/Architect,1.5,1.5,1.6,1.6,1.4,1.3,1.0,1.7,1.6,1.2,1.9,1.7,2.2
Custodian/Janitor/Housekeeper,1.2,1.5,1.0,1.6,1.3,1.2,1.3,1.4,1.1,0.7,2.0,1.7,2.3
"Food Service (e.g., Chef/Cook Server)",1.2,1.3,1.1,1.5,1.0,1.1,1.3,0.8,1.1,0.9,1.1,1.2,1.1
Hair Stylist/Aesthetician/Manicurist,0.3,0.4,0.3,0.4,0.3,0.4,0.2,0.3,0.3,0.2,0.9,0.9,1.0
Interior Designer,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2
"Skilled Trades (e.g., Plumber, Electrician, Construction)",7.7,8.7,6.6,9.7,7.6,7.5,8.1,7.4,7.1,4.7,6.5,6.3,6.9
Social/Non-Profit Services,0.5,0.6,0.4,0.6,0.5,0.5,0.3,0.6,0.4,0.4,0.9,1.0,0.7
Clergy,0.7,0.8,0.6,0.6,1.0,0.5,0.3,1.8,0.6,0.8,1.3,1.3,1.3
Homemaker/Stay at Home Parent,1.5,1.6,1.4,1.8,1.3,1.4,1.1,1.2,1.4,1.2,2.0,2.2,1.7
Other,17.4,20.6,14.3,22.7,18.0,17.3,18.4,18.6,15.0,11.5,27.1,29.0,24.3
Undecided,1.9,2.1,1.6,2.5,1.6,1.6,1.9,1.5,1.7,1.1,5.1,5.9,4.0
Your mother’s occupation,,,,,,,,,,,,,
Actor or Entertainer,0.5,0.5,0.4,0.5,0.5,0.6,0.3,0.5,0.4,0.5,0.3,0.2,0.5
Artist,0.7,0.6,0.7,0.5,0.7,0.8,0.6,0.7,0.7,0.7,0.3,0.3,0.5
Graphic Designer,0.4,0.3,0.4,0.3,0.4,0.5,0.4,0.3,0.4,0.5,0.0,0.0,0.1
Musician,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.3,0.4,0.2
Writer/Producer/Director,0.2,0.2,0.2,0.1,0.2,0.3,0.1,0.2,0.2,0.3,0.1,0.0,0.1
Farmer or Forester,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1
Natural Resource Specialist/Environmentalist,0.2,0.2,0.2,0.1,0.2,0.3,0.1,0.2,0.2,0.2,0.1,0.1,0.1
Accountant,3.4,3.2,3.5,3.2,3.2,3.1,3.8,3.1,3.5,3.8,2.3,2.3,2.4
Administrative Assistant,2.2,2.3,2.1,2.2,2.4,2.2,2.9,2.2,2.1,1.9,1.8,1.8,1.9
Business Manager/Executive,2.4,2.1,2.7,1.9,2.4,2.7,2.6,2.1,2.6,3.1,1.3,0.8,2.1
Business Owner/Entrepreneur,1.9,1.8,2.1,1.5,2.0,2.2,2.1,1.8,2.0,2.8,1.5,1.2,1.8
Retail Sales,1.2,1.1,1.2,1.1,1.1,1.2,1.3,1.0,1.3,0.9,1.0,1.1,1.0
Sales/Marketing,2.2,2.0,2.4,1.8,2.2,2.3,2.4,1.9,2.4,2.6,1.2,1.1,1.5
Human Resources,1.3,1.4,1.1,1.5,1.4,1.2,1.6,1.4,1.1,1.3,1.8,1.6,2.2
"Finance (e.g., Actuary, Banking, Loan Officer, Planner)",2.0,2.0,2.1,1.9,2.1,2.1,2.3,1.8,2.0,2.3,1.3,1.2,1.4
Management Consultant,0.6,0.5,0.7,0.5,0.6,0.5,0.7,0.5,0.6,0.7,0.5,0.6,0.3
Real Estate Agent/Realtor/Appraiser/Developer,1.0,0.9,1.0,0.9,1.0,1.1,1.0,0.9,1.0,1.2,0.8,0.6,1.0
Sports Management,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Journalist,0.2,0.2,0.3,0.1,0.3,0.3,0.2,0.3,0.2,0.3,0.1,0.1,0.2
Public/Media Relations,0.5,0.4,0.6,0.4,0.5,0.5,0.4,0.5,0.6,0.5,0.5,0.6,0.4
Advertising,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2
