,All Bacc Institutions,4-yr Coll(Baccalaureate Institutions),Universities(Baccalaureate Institutions),Public 4-year Colleges,Private 4-year Colleges,Nonsec 4-year Colleges,Catholic 4-year Colleges,Oth Relig 4-year Colleges,Public Universities,Private Universities,All HBCU,Public HBCU,Private HBCU
How much of your first year’s educational,,,,,,,,,,,,,
"expenses (room, board, tuition, and fees) do you",,,,,,,,,,,,,
expect to cover from each of the sources listed,,,,,,,,,,,,,
below?,,,,,,,,,,,,,
"Family resources (parents, relatives, spouse, etc.)",,,,,,,,,,,,,
None,23.2,26.5,19.7,30.3,21.2,21.8,19.3,21.4,21.3,13.2,37.3,37.8,36.3
"Less than $1,000",10.7,13.0,8.2,15.3,9.8,9.0,9.6,10.8,9.0,4.7,19.9,21.7,16.6
"$1,000 to $2,999",11.6,13.7,9.2,14.8,12.2,11.1,12.1,13.5,9.9,6.5,18.0,19.1,15.9
"$3,000 to $5,999",10.8,11.8,9.8,12.0,11.4,10.0,11.5,12.7,10.4,7.4,10.6,10.4,11.1
"$6,000 to $9,999",9.2,9.5,8.9,8.9,10.3,10.1,10.1,10.6,9.2,7.9,5.1,4.8,5.7
"$10,000 or more",34.5,25.6,44.2,18.6,35.1,38.1,37.5,30.9,40.2,60.3,9.2,6.3,14.5
"My own resources (savings from work, work-",,,,,,,,,,,,,
"study, other income)",,,,,,,,,,,,,
None,38.6,38.8,38.5,40.1,37.0,39.2,35.0,35.6,37.0,44.6,50.0,49.0,51.9
"Less than $1,000",25.4,27.1,23.7,28.9,24.5,23.8,24.9,25.1,24.3,21.3,27.2,28.0,25.6
"$1,000 to $2,999",21.9,21.1,22.8,20.0,22.6,22.7,22.8,22.5,23.6,19.8,15.1,15.5,14.5
"$3,000 to $5,999",8.1,7.5,8.7,6.6,8.9,8.0,9.9,9.3,9.0,7.6,4.6,4.9,4.3
"$6,000 to $9,999",2.8,2.6,3.0,2.2,3.2,2.7,3.6,3.6,3.0,2.8,1.5,1.4,1.6
"$10,000 or more",3.1,2.9,3.3,2.3,3.8,3.6,3.8,3.9,3.1,4.0,1.6,1.3,2.1
"Aid which need not be repaid (grants,",,,,,,,,,,,,,
"scholarships, military funding, etc.)",,,,,,,,,,,,,
None,30.3,28.1,32.7,34.0,19.9,23.9,16.5,17.5,34.0,27.4,28.0,29.0,26.1
"Less than $1,000",5.7,6.1,5.3,8.4,2.9,2.8,2.6,3.1,6.1,2.1,6.4,7.0,5.2
"$1,000 to $2,999",10.4,10.1,10.8,12.7,6.5,5.9,6.9,6.8,12.4,4.5,14.9,16.8,11.4
"$3,000 to $5,999",11.9,12.7,11.1,15.6,8.6,7.7,8.4,9.6,12.4,5.8,18.4,19.4,16.6
"$6,000 to $9,999",10.3,10.5,10.2,11.2,9.5,8.4,10.5,10.0,11.2,5.9,11.6,12.2,10.4
"$10,000 or more",31.3,32.7,29.9,18.0,52.6,51.3,55.0,52.9,23.9,54.3,20.8,15.6,30.3
"Aid which must be repaid (loans, etc.)",,,,,,,,,,,,,
None,49.9,47.0,53.0,51.8,40.6,44.4,36.7,38.5,52.5,54.9,36.8,35.5,39.0
"Less than $1,000",3.7,4.4,3.1,5.0,3.5,3.2,3.6,3.8,3.3,1.9,7.4,8.2,5.8
"$1,000 to $2,999",8.3,9.4,7.2,9.8,8.9,8.1,9.1,9.6,7.7,5.1,12.7,14.8,8.8
"$3,000 to $5,999",16.1,16.9,15.2,15.7,18.4,17.0,20.4,19.0,15.6,13.6,16.5,18.2,13.4
"$6,000 to $9,999",9.2,9.5,8.9,7.9,11.8,10.5,11.9,12.9,9.1,8.3,11.1,11.7,10.0
"$10,000 or more",12.7,12.7,12.7,9.7,16.8,16.7,18.3,16.2,11.9,16.2,15.6,11.6,23.0
Other than above,,,,,,,,,,,,,
None,92.7,92.0,93.5,92.4,91.3,92.0,90.4,91.0,93.5,93.6,90.3,90.8,89.4
"Less than $1,000",2.6,2.9,2.3,3.0,2.6,2.4,2.8,2.7,2.4,1.5,3.4,3.4,3.3
"$1,000 to $2,999",1.6,1.8,1.4,1.8,1.9,1.8,2.1,2.0,1.5,1.1,2.6,2.7,2.4
"$3,000 to $5,999",1.1,1.2,0.9,1.1,1.3,1.1,1.7,1.4,0.9,0.9,1.4,1.2,1.8
"$6,000 to $9,999",0.7,0.7,0.6,0.6,0.9,0.8,0.9,1.0,0.6,0.6,1.0,1.0,1.0
"$10,000 or more",1.3,1.4,1.3,1.0,1.9,1.9,2.1,1.9,1.0,2.2,1.2,0.8,1.9
