ACE,Institution,City,State,Stratification Cell,Included in National Norms
1643,Centenary College,Hackettstown,NJ,20,no
2054,Central State University,Wilberforce,OH,34,yes
956,Centre College,Danville,KY,23,yes
141,Chapman University,Orange,CA,23,yes
6484,Charleston Southern University,Charleston,SC,20,yes
2322,Cheyney University of Pennsylvania,Cheyney,PA,34,no
1941,Chowan University,Murfreesboro,NC,20,yes
2523,Christian Brothers University,Memphis,TN,18,no
2435,Citadel Military College of South Carolina,Charleston,SC,9,yes
147,Claremont McKenna College,Claremont,CA,14,no
507,Clark Atlanta University,Atlanta,GA,41,yes
1151,Clark University,Worcester,MA,5,yes
1748,Clarkson University,Potsdam,NY,4,yes
1044,Colby College,Waterville,ME,14,yes
1749,Colgate University,Hamilton,NY,14,yes
2785,College of William and Mary,Williamsburg,VA,3,no
7402,Colorado Christian University,Lakewood,CO,22,yes
318,Colorado State University-Fort Collins,Fort Collins,CO,2,no
5542,Columbus College of Art and Design,Columbus,OH,12,no
359,Connecticut College,New London,CT,14,yes
1077,Coppin State University,Baltimore,MD,34,no
6667,Corban University,Salem,OR,22,yes
1463,Cottey College,Nevada,MO,15,yes
1573,Creighton University,Omaha,NE,18,yes
6430,CUNY Lehman College,Bronx,NY,8,no
6166,Dalton State College,Dalton,GA,10,no
1942,Davidson College,Davidson,NC,23,no
2244,Delaware Valley College,Doylestown,PA,12,yes
2065,Denison University,Granville,OH,14,yes
2247,Dickinson College,Carlisle,PA,14,yes
1005,Dillard University,New Orleans,LA,38,yes
5455,Dominican College of Blauvelt,Orangeburg,NY,11,yes
687,Dominican University,River Forest,IL,17,yes
1646,Drew University,Madison,NJ,23,no
2251,Drexel University,Philadelphia,PA,5,no
753,Earlham College,Richmond,IN,23,yes
2786,Eastern Mennonite University,Harrisonburg,VA,22,no
464,Eckerd College,Saint Petersburg,FL,23,yes
1157,Emerson College,Boston,MA,14,no
1158,Emmanuel College,Boston,MA,17,yes
2787,Emory & Henry College,Emory,VA,20,yes
511,Emory University,Atlanta,GA,6,no
362,Fairfield University,Fairfield,CT,18,yes
6529,Fairleigh Dickinson University-College at Florham,Madison,NJ,12,yes
2788,Ferrum College,Ferrum,VA,20,yes
8206,Florida International University,Miami,FL,1,no
461,Florida Memorial University,Miami Gardens,FL,38,no
463,Florida State University,Tallahassee,FL,3,no
1773,Fordham University,Bronx,NY,5,yes
897,Friends University,Wichita,KS,12,yes
2446,Furman University,Greenville,SC,14,yes
